%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1385303035790338506,411,1385303035790338506,,61,0.0
1385303035892702935,412,1385303035892702935,,61,0.0
1385303036000047621,413,1385303036000047621,,61,0.0
1385303036160300569,414,1385303036160300569,,61,0.0
1385303036206041229,415,1385303036206041229,,61,0.0
1385303036457590167,416,1385303036457590167,,61,0.0
1385303036506906262,417,1385303036506906262,,62,0.0
1385303036582339734,418,1385303036582339734,,62,0.0
1385303036630033520,419,1385303036630033520,,62,0.0
1385303036732738860,420,1385303036732738860,,62,0.0
1385303036857551765,421,1385303036857551765,,62,0.0
1385303036943894626,422,1385303036943894626,,63,0.0
1385303037030953169,423,1385303037030953169,,63,0.0
1385303037135901983,424,1385303037135901983,,63,0.0
1385303037285511155,425,1385303037285511155,,63,0.0
1385303037376947756,426,1385303037376947756,,63,0.0
1385303037443752488,427,1385303037443752488,,63,0.0
1385303037587670230,428,1385303037587670230,,64,0.0
1385303037665750289,429,1385303037665750289,,64,0.0
1385303037784668589,430,1385303037784668589,,64,0.0
1385303037843170064,431,1385303037843170064,,64,0.0
1385303037940629549,432,1385303037940629549,,64,0.0
1385303038041566559,433,1385303038041566559,,64,0.0
1385303038147604919,434,1385303038147604919,,64,0.0
1385303038244138102,435,1385303038244138102,,65,0.0
1385303038343436212,436,1385303038343436212,,65,0.0
1385303038443204979,437,1385303038443204979,,64,0.0
1385303038542431092,438,1385303038542431092,,64,0.0
1385303038649542266,439,1385303038649542266,,64,0.0
1385303038762708470,440,1385303038762708470,,66,0.0
1385303038855752350,441,1385303038855752350,,66,0.0
1385303038946477091,442,1385303038946477091,,66,0.0
1385303039094567927,443,1385303039094567927,,66,0.0
1385303039189614718,444,1385303039189614718,,66,0.0
1385303039275298285,445,1385303039275298285,,66,0.0
1385303039347744761,446,1385303039347744761,,66,0.0
1385303039451243440,447,1385303039451243440,,66,0.0
1385303039548245171,448,1385303039548245171,,66,0.0
1385303039652735966,449,1385303039652735966,,66,0.0
1385303039759607453,450,1385303039759607453,,66,0.0
1385303039877734888,451,1385303039877734888,,66,0.0
1385303039957568425,452,1385303039957568425,,67,0.0
1385303040060530295,453,1385303040060530295,,67,0.0
1385303040157484649,454,1385303040157484649,,67,0.0
1385303040261882332,455,1385303040261882332,,67,0.0
1385303040362750807,456,1385303040362750807,,67,0.0
1385303040454102321,457,1385303040454102321,,68,0.0
1385303040560014798,458,1385303040560014798,,68,0.0
1385303040668518263,459,1385303040668518263,,69,0.0
